location,orientation,ac_scenario,Baseline,CeilingFan_1,CeilingFan_2,CeilingFan_NoSetback_1,CeilingFan_NoSetback_2,CoolRoof_1,CoolRoof_2,CoolWall_1,CoolWall_2,HybridNV_OperationSchd_1,HybridNV_OperationSchd_2,HybridNV_WindowOpen_1,HybridNV_WindowOpen_2,InsRoof_1,InsRoof_2,InsWall_1,InsWall_2,LowEWin_1,LowEWin_2,Overhang_1,Shade_1,Shade_2,SolarWin_1,SolarWin_2,Baseline_savings_kwh,Baseline_savings_pct,CeilingFan_1_savings_kwh,CeilingFan_1_savings_pct,CeilingFan_2_savings_kwh,CeilingFan_2_savings_pct,CeilingFan_NoSetback_1_savings_kwh,CeilingFan_NoSetback_1_savings_pct,CeilingFan_NoSetback_2_savings_kwh,CeilingFan_NoSetback_2_savings_pct,CoolRoof_1_savings_kwh,CoolRoof_1_savings_pct,CoolRoof_2_savings_kwh,CoolRoof_2_savings_pct,CoolWall_1_savings_kwh,CoolWall_1_savings_pct,CoolWall_2_savings_kwh,CoolWall_2_savings_pct,HybridNV_OperationSchd_1_savings_kwh,HybridNV_OperationSchd_1_savings_pct,HybridNV_OperationSchd_2_savings_kwh,HybridNV_OperationSchd_2_savings_pct,HybridNV_WindowOpen_1_savings_kwh,HybridNV_WindowOpen_1_savings_pct,HybridNV_WindowOpen_2_savings_kwh,HybridNV_WindowOpen_2_savings_pct,InsRoof_1_savings_kwh,InsRoof_1_savings_pct,InsRoof_2_savings_kwh,InsRoof_2_savings_pct,InsWall_1_savings_kwh,InsWall_1_savings_pct,InsWall_2_savings_kwh,InsWall_2_savings_pct,LowEWin_1_savings_kwh,LowEWin_1_savings_pct,LowEWin_2_savings_kwh,LowEWin_2_savings_pct,Overhang_1_savings_kwh,Overhang_1_savings_pct,Shade_1_savings_kwh,Shade_1_savings_pct,Shade_2_savings_kwh,Shade_2_savings_pct,SolarWin_1_savings_kwh,SolarWin_1_savings_pct,SolarWin_2_savings_kwh,SolarWin_2_savings_pct
Jakarta,West,FullHouse_AC,989.46,392.05999999999995,230.17,989.46,989.46,916.7299999999999,822.11,845.42,679.6500000000001,886.81,886.47,811.48,810.74,804.7199999999999,761.06,859.19,859.19,835.22,819.11,928.3000000000001,1061.91,858.8,826.99,746.05,0,0,597.4000000000001,0.6037636690720192,759.2900000000001,0.7673781658682515,0.0,0.0,0.0,0.0,72.73000000000013,0.07350473995916978,167.35000000000002,0.16913265821761367,144.04000000000008,0.14557435368787022,309.80999999999995,0.3131101813110181,102.65000000000009,0.1037434560265196,102.99000000000001,0.10408707780001214,177.98000000000002,0.1798758919006327,178.72000000000003,0.1806237745841166,184.74000000000012,0.1867079012794859,228.4000000000001,0.23083297960503718,130.26999999999998,0.13165767186141933,130.26999999999998,0.13165767186141933,154.24,0.15588300689264853,170.35000000000002,0.17216461504254849,61.15999999999997,0.061811493137671016,-72.45000000000005,-0.07322175732217577,130.66000000000008,0.13205182624866096,162.47000000000003,0.1642006751157197,243.41000000000008,0.246002870252461
Jakarta,West,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Padang,South,Bedroom_AC_Only,440.96000000000004,106.77,45.12,440.96000000000004,440.96000000000004,400.63,347.93,375.21,302.25,373.89,373.51,269.09999999999997,268.68,336.2,309.11,368.3,368.3,377.75,371.46999999999997,410.54,432.52,369.09,371.9,340.05,0,0,334.19000000000005,0.7578691944847605,395.84000000000003,0.897677793904209,0.0,0.0,0.0,0.0,40.33000000000004,0.09145954281567498,93.03000000000003,0.21097151669085637,65.75000000000006,0.14910649492017428,138.71000000000004,0.31456367924528306,67.07000000000005,0.15209996371552986,67.45000000000005,0.1529617198838898,171.86000000000007,0.389740566037736,172.28000000000003,0.3906930333817127,104.76000000000005,0.23757256894049356,131.85000000000002,0.2990067126269957,72.66000000000003,0.16477685050798263,72.66000000000003,0.16477685050798263,63.210000000000036,0.14334633526850515,69.49000000000007,0.15758798984034847,30.420000000000016,0.0689858490566038,8.440000000000055,0.019140058055152516,71.87000000000006,0.1629853047895502,69.06000000000006,0.15661284470246747,100.91000000000003,0.22884161828737304
Padang,South,FullHouse_AC,585.4499999999999,139.25,54.760000000000005,585.4499999999999,585.4499999999999,530.66,459.60999999999996,501.15,405.21,511.34,510.87,365.65999999999997,365.12,442.7,406.25,486.28000000000003,486.28000000000003,503.29999999999995,495.02,547.26,574.0500000000001,494.20000000000005,495.63,454.12,0,0,446.19999999999993,0.7621487744470066,530.6899999999999,0.9064651123067726,0.0,0.0,0.0,0.0,54.789999999999964,0.09358613032709877,125.83999999999997,0.2149457682124861,84.29999999999995,0.14399180117858051,180.23999999999995,0.30786574429925695,74.10999999999996,0.1265863865402681,74.57999999999993,0.12738918780425304,219.78999999999996,0.3754206166196942,220.32999999999993,0.37634298402937905,142.74999999999994,0.2438295328379878,179.19999999999993,0.3060893329917157,99.1699999999999,0.16939106670082826,99.1699999999999,0.16939106670082826,82.14999999999998,0.14031941241779824,90.42999999999995,0.15446237936629936,38.18999999999994,0.0652318729182679,11.399999999999864,0.019472200871124546,91.24999999999989,0.15586301135878367,89.81999999999994,0.1534204458109146,131.32999999999993,0.22432317021094875
Padang,South,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Padang,West,Bedroom_AC_Only,627.9599999999999,239.85,138.32,627.9599999999999,627.9599999999999,579.04,516.79,525.23,410.06,529.07,528.3,389.26,388.10999999999996,508.57,479.46999999999997,544.33,544.33,531.21,521.75,587.45,656.92,534.89,524.94,474.41999999999996,0,0,388.1099999999999,0.6180489203133956,489.63999999999993,0.7797311930696222,0.0,0.0,0.0,0.0,48.91999999999996,0.07790305114975471,111.16999999999996,0.1770335690171348,102.7299999999999,0.16359322249824818,217.89999999999992,0.346996623988789,98.88999999999987,0.15747818332377841,99.65999999999997,0.1587043760749092,238.69999999999993,0.3801197528505,239.84999999999997,0.38195107968660424,119.38999999999993,0.19012357474998398,148.48999999999995,0.2364641059940123,83.62999999999988,0.13317727243773472,83.62999999999988,0.13317727243773472,96.74999999999989,0.15407032295050624,106.20999999999992,0.16913497675011138,40.50999999999988,0.06451047837441856,-28.960000000000036,-0.04611758710745914,93.06999999999994,0.14821007707497286,103.01999999999987,0.16405503535257004,153.53999999999996,0.24450601949168735
Padang,West,FullHouse_AC,895.9399999999999,354.72,209.42000000000002,895.9399999999999,895.9399999999999,825.22,733.97,754.9599999999999,590.3100000000001,778.91,777.9,575.6,573.97,718.73,676.45,772.13,772.13,760.5799999999999,746.9499999999999,840.86,940.19,774.45,752.63,680.3100000000001,0,0,541.2199999999999,0.604080630399357,686.52,0.7662566689733687,0.0,0.0,0.0,0.0,70.71999999999991,0.07893385717793593,161.9699999999999,0.18078219523628805,140.98000000000002,0.15735428711744093,305.6299999999999,0.3411277540906756,117.02999999999997,0.13062258633390628,118.03999999999996,0.13174989396611378,320.3399999999999,0.3575462642587673,321.9699999999999,0.3593655825166863,177.20999999999992,0.197792262874746,219.4899999999999,0.2449829229635912,123.80999999999995,0.1381900573699131,123.80999999999995,0.1381900573699131,135.36,0.15108154563921694,148.99,0.16629461794316586,55.07999999999993,0.061477331071277015,-44.250000000000114,-0.04938946804473527,121.4899999999999,0.13560059825434728,143.30999999999995,0.15995490769471166,215.62999999999988,0.24067459874545158
Padang,West,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Waingapu,South,Bedroom_AC_Only,388.29,75.19999999999999,25.450000000000003,388.29,388.29,352.9,307.53,333.65,272.63,344.31,343.85,258.68,258.33,303.49,280.32,329.82,329.82,329.28000000000003,323.79,362.8,379.87,317.19,322.56,294.3,0,0,313.09000000000003,0.8063303201215587,362.84000000000003,0.9344562054134796,0.0,0.0,0.0,0.0,35.39000000000004,0.09114321769811234,80.76000000000005,0.20798887429498583,54.64000000000004,0.14071956527337826,115.66000000000003,0.29787014860027305,43.98000000000002,0.11326585799273743,44.44,0.11445053954518529,129.61,0.33379690437559556,129.96000000000004,0.3346982925133277,84.80000000000001,0.21839346879909347,107.97000000000003,0.27806536351695904,58.47000000000003,0.1505833268948467,58.47000000000003,0.1505833268948467,59.00999999999999,0.15197404002163328,64.5,0.1661129568106312,25.49000000000001,0.06564681037368979,8.420000000000016,0.02168482319915531,71.10000000000002,0.1831105616935796,65.73000000000002,0.16928069226608983,93.99000000000001,0.24206134590125938
Waingapu,South,FullHouse_AC,521.78,96.10000000000001,29.71,521.78,521.78,472.35,409.09,450.29999999999995,367.92,475.44,474.77000000000004,362.0,361.56,401.54,369.12,438.93,438.93,443.32,435.68,489.29999999999995,506.59000000000003,428.72,434.3,396.27,0,0,425.67999999999995,0.8158227605504235,492.07,0.9430602936103339,0.0,0.0,0.0,0.0,49.42999999999995,0.09473341254935021,112.69,0.2159722488405075,71.48000000000002,0.13699260224615742,153.85999999999996,0.29487523477327604,46.339999999999975,0.08881137644217865,47.009999999999934,0.09009544252366886,159.77999999999997,0.3062210126873395,160.21999999999997,0.30706427996473606,120.23999999999995,0.23044194871401733,152.65999999999997,0.2925754149258308,82.84999999999997,0.15878339530070137,82.84999999999997,0.15878339530070137,78.45999999999998,0.15036988769213075,86.09999999999997,0.16501207405419904,32.48000000000002,0.06224845720418571,15.18999999999994,0.029111886235578102,93.05999999999995,0.17835102916938164,87.47999999999996,0.1676568668787611,125.50999999999999,0.24054199087738126
Waingapu,South,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Waingapu,West,Bedroom_AC_Only,604.62,235.26000000000002,145.17999999999998,604.62,604.62,556.88,497.08000000000004,503.04,389.97999999999996,533.28,532.43,417.69,416.82,496.96,470.77,529.1,529.1,502.38,492.35999999999996,564.51,644.0799999999999,508.26,495.08,442.33,0,0,369.36,0.6108961000297708,459.44000000000005,0.7598822400846814,0.0,0.0,0.0,0.0,47.74000000000001,0.07895868479375477,107.53999999999996,0.17786378221031385,101.57999999999998,0.16800635109655648,214.64000000000004,0.3549998346068606,71.34000000000003,0.11799146571400224,72.19000000000005,0.11939730739968915,186.93,0.3091693956534683,187.8,0.3106083159670537,107.66000000000003,0.17806225397770503,133.85000000000002,0.22137871721081012,75.51999999999998,0.12490489894479175,75.51999999999998,0.12490489894479175,102.24000000000001,0.16909794581720752,112.26000000000005,0.18567033839436348,40.110000000000014,0.06633918825047139,-39.45999999999992,-0.06526413284376952,96.36000000000001,0.15937282921504417,109.54000000000002,0.18117164500016542,162.29000000000002,0.2684165260824981
Waingapu,West,FullHouse_AC,872.37,357.44,228.81,872.37,872.37,802.48,715.22,732.04,568.9000000000001,787.86,786.51,617.69,616.15,711.27,672.88,759.41,759.41,728.05,713.74,817.26,932.55,747.27,719.21,642.8299999999999,0,0,514.9300000000001,0.5902655983126427,643.56,0.7377145018742047,0.0,0.0,0.0,0.0,69.88999999999999,0.08011508878113643,157.14999999999998,0.18014145374095852,140.33000000000004,0.16086064399280126,303.4699999999999,0.34786845031351366,84.50999999999999,0.09687403280718043,85.86000000000001,0.09842154131847727,254.67999999999995,0.29194034641264593,256.22,0.29370565241812535,161.10000000000002,0.18466934901475293,199.49,0.2286759058656304,112.96000000000004,0.1294863418045096,112.96000000000004,0.1294863418045096,144.32000000000005,0.16543439137063407,158.63,0.18183798159038023,55.110000000000014,0.06317273633893877,-60.17999999999995,-0.06898449052580895,125.10000000000002,0.1434024553801713,153.15999999999997,0.17556770636312571,229.54000000000008,0.2631222990244966
Waingapu,West,No_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
