location,orientation,ac_scenario,case_name,Cooling,Fans,Heating,Interior Equipment,Interior Lighting,Total End Uses,hvac
Jakarta,South,Bedroom_AC_Only,CoolRoof_2,371.96,24.97,0.0,2176.06,501.28,3074.27,396.92999999999995
Jakarta,South,Bedroom_AC_Only,CoolWall_1,400.14,26.93,0.0,2176.06,501.28,3104.41,427.07
Jakarta,South,Bedroom_AC_Only,CoolWall_2,334.49,22.49,0.0,2176.06,501.28,3034.32,356.98
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,404.79,27.14,0.0,2176.06,501.28,3109.27,431.93
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,404.69,27.13,0.0,2176.06,501.28,3109.17,431.82
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,367.29,24.57,0.0,2176.06,501.28,3069.2,391.86
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,367.09,24.55,0.0,2176.06,501.28,3068.98,391.64
Jakarta,South,Bedroom_AC_Only,InsRoof_1,359.99,24.18,0.0,2176.06,501.28,3061.51,384.17
Jakarta,South,Bedroom_AC_Only,InsRoof_2,333.46,22.38,0.0,2176.06,501.28,3033.18,355.84
Jakarta,South,Bedroom_AC_Only,InsWall_1,390.73,26.25,0.0,2176.06,501.28,3094.32,416.98
Jakarta,South,Bedroom_AC_Only,InsWall_2,390.73,26.25,0.0,2176.06,501.28,3094.32,416.98
Jakarta,South,Bedroom_AC_Only,LowEWin_1,393.37,26.46,0.0,2176.06,501.28,3097.17,419.83
Jakarta,South,Bedroom_AC_Only,LowEWin_2,386.35,25.99,0.0,2176.06,501.28,3089.68,412.34000000000003
Jakarta,South,Bedroom_AC_Only,Overhang_1,429.97,28.93,0.0,2176.06,501.28,3136.24,458.90000000000003
Jakarta,South,Bedroom_AC_Only,Shade_1,459.69,30.76,0.0,2176.06,501.28,3167.79,490.45
Jakarta,South,Bedroom_AC_Only,Shade_2,386.92,25.97,0.0,2176.06,501.28,3090.24,412.89
Jakarta,South,Bedroom_AC_Only,SolarWin_1,387.91,26.08,0.0,2176.06,501.28,3091.33,413.99
Jakarta,South,Bedroom_AC_Only,SolarWin_2,355.0,23.87,0.0,2176.06,501.28,3056.21,378.87
Jakarta,South,FullHouse_AC,Baseline,604.98,40.65,0.0,2176.06,501.28,3322.97,645.63
Jakarta,South,FullHouse_AC,CeilingFan_1,123.56,8.09,0.0,2176.06,501.28,2808.99,131.65
Jakarta,South,FullHouse_AC,CeilingFan_2,45.72,2.91,0.0,2176.06,501.28,2725.98,48.629999999999995
Jakarta,South,FullHouse_AC,CeilingFan_NoSetback_1,604.98,40.65,0.0,2176.06,501.28,3322.97,645.63
Jakarta,South,FullHouse_AC,CeilingFan_NoSetback_2,604.98,40.65,0.0,2176.06,501.28,3322.97,645.63
Jakarta,South,FullHouse_AC,CoolRoof_1,553.57,37.17,0.0,2176.06,501.28,3268.09,590.74
Jakarta,South,FullHouse_AC,CoolRoof_2,486.59,32.64,0.0,2176.06,501.28,3196.58,519.23
Jakarta,South,FullHouse_AC,CoolWall_1,529.69,35.61,0.0,2176.06,501.28,3242.64,565.3000000000001
Jakarta,South,FullHouse_AC,CoolWall_2,445.22,29.9,0.0,2176.06,501.28,3152.46,475.12
Jakarta,South,FullHouse_AC,HybridNV_OperationSchd_1,544.94,36.55,0.0,2176.06,501.28,3258.83,581.49
Jakarta,South,FullHouse_AC,HybridNV_OperationSchd_2,544.82,36.54,0.0,2176.06,501.28,3258.7,581.36
Jakarta,South,FullHouse_AC,HybridNV_WindowOpen_1,494.39,33.08,0.0,2176.06,501.28,3204.81,527.47
Jakarta,South,FullHouse_AC,HybridNV_WindowOpen_2,494.13,33.06,0.0,2176.06,501.28,3204.54,527.19
Jakarta,South,FullHouse_AC,InsRoof_1,469.7,31.52,0.0,2176.06,501.28,3178.56,501.21999999999997
Jakarta,South,FullHouse_AC,InsRoof_2,434.18,29.11,0.0,2176.06,501.28,3140.63,463.29
