location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Fans,30.99
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Total End Uses,3169.38
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Cooling,461.04
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Fans,30.99
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Total End Uses,3169.38
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Cooling,429.97
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Fans,28.93
Jakarta,South,Bedroom_AC_Only,Overhang_1,18,28.76,Total End Uses,3136.24
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Cooling,459.69
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Fans,30.76
Jakarta,South,Bedroom_AC_Only,Shade_1,19,28.76,Total End Uses,3167.79
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Cooling,386.92
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Fans,25.97
Jakarta,South,Bedroom_AC_Only,Shade_2,20,28.76,Total End Uses,3090.24
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Cooling,367.29
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Fans,24.57
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Total End Uses,3069.2
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Cooling,367.09
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Fans,24.55
Jakarta,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Total End Uses,3068.98
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Cooling,404.79
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Fans,27.14
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Total End Uses,3109.27
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Heating,0.0
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Cooling,404.69
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Interior Lighting,501.28
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Interior Equipment,2176.06
Jakarta,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Fans,27.13
