location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Waingapu,South,No_AC,Baseline,25,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,Baseline,25,28.76,Fans,0.0
Waingapu,South,No_AC,Baseline,25,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Heating,0.0
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Cooling,0.0
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Fans,0.0
Waingapu,South,No_AC,CoolRoof_1,26,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Heating,0.0
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Cooling,0.0
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Fans,0.0
Waingapu,South,No_AC,CoolRoof_2,27,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CoolWall_1,28,28.76,Heating,0.0
Waingapu,South,No_AC,CoolWall_1,28,28.76,Cooling,0.0
Waingapu,South,No_AC,CoolWall_1,28,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CoolWall_1,28,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CoolWall_1,28,28.76,Fans,0.0
Waingapu,South,No_AC,CoolWall_1,28,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CoolWall_2,29,28.76,Heating,0.0
Waingapu,South,No_AC,CoolWall_2,29,28.76,Cooling,0.0
Waingapu,South,No_AC,CoolWall_2,29,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CoolWall_2,29,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CoolWall_2,29,28.76,Fans,0.0
Waingapu,South,No_AC,CoolWall_2,29,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,InsRoof_1,30,28.76,Heating,0.0
Waingapu,South,No_AC,InsRoof_1,30,28.76,Cooling,0.0
Waingapu,South,No_AC,InsRoof_1,30,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,InsRoof_1,30,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,InsRoof_1,30,28.76,Fans,0.0
Waingapu,South,No_AC,InsRoof_1,30,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,InsRoof_2,31,28.76,Heating,0.0
Waingapu,South,No_AC,InsRoof_2,31,28.76,Cooling,0.0
Waingapu,South,No_AC,InsRoof_2,31,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,InsRoof_2,31,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,InsRoof_2,31,28.76,Fans,0.0
Waingapu,South,No_AC,InsRoof_2,31,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,InsWall_1,32,28.76,Heating,0.0
Waingapu,South,No_AC,InsWall_1,32,28.76,Cooling,0.0
Waingapu,South,No_AC,InsWall_1,32,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,InsWall_1,32,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,InsWall_1,32,28.76,Fans,0.0
Waingapu,South,No_AC,InsWall_1,32,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,InsWall_2,33,28.76,Heating,0.0
Waingapu,South,No_AC,InsWall_2,33,28.76,Cooling,0.0
Waingapu,South,No_AC,InsWall_2,33,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,InsWall_2,33,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,InsWall_2,33,28.76,Fans,0.0
Waingapu,South,No_AC,InsWall_2,33,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,LowEWin_1,34,28.76,Heating,0.0
Waingapu,South,No_AC,LowEWin_1,34,28.76,Cooling,0.0
Waingapu,South,No_AC,LowEWin_1,34,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,LowEWin_1,34,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,LowEWin_1,34,28.76,Fans,0.0
Waingapu,South,No_AC,LowEWin_1,34,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,LowEWin_2,35,28.76,Heating,0.0
Waingapu,South,No_AC,LowEWin_2,35,28.76,Cooling,0.0
Waingapu,South,No_AC,LowEWin_2,35,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,LowEWin_2,35,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,LowEWin_2,35,28.76,Fans,0.0
Waingapu,South,No_AC,LowEWin_2,35,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,SolarWin_1,36,28.76,Heating,0.0
